ID	author_ids	author_names_en	author_names_ur	category_ids	category_names_en	category_names_ur	epub_fn	title_en	title_ur	published_year	volume	isbn
2802	3028	Yaqoob Yawar	یعقوب یاور	12	Kulliyat	کلیات	ac5bea38-7377-497b-80c4-5552a692265e.epub	Agha Hashr Kashmiri	آغا حشر کاشمیری	2017	8	5958468512716
2803	3029	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	32747ddd-9411-4a06-9c72-95dfc3b24848.epub	Aaina-e-Jahan	آئینۂ جہاں، جلد نہم	2016	9	7186559447303
2804	3030	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	cafc55d8-d74f-4b88-95fe-5efedb5bf820.epub	Aaina-e-Jahan	آئینۂ ادب	2016	11	1837022624333
2805	3031	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	eedc4bfe-e4b9-48f8-84dd-2c37cf1ddd71.epub	Aaina-e-Jahan	آئینۂ ادب	2016	10	2933064728964
2806	3032	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	a1b7c797-43d4-4f5f-a474-d2437df92f41.epub	Aaina-e-Jahan	آئینۂ ادب	2016	8	9428819649494
2807	3033	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	7727ded3-78d7-407e-a3f0-ba5be876241b.epub	Aaina-e-Jahan Vol 7	آئینۂ جہاں جلد ہفتم	2016	7	9200978127751
2808	3034	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	2549cb62-0ebf-4ca5-808c-e14701a8cff8.epub	Aaina-e-Jahan Vol 6	آئینۂ جہاں جلد ششم	2016	6	8107124070350
2809	3035	Jameel Akhtar	جمیل اختر	12	Kulliyat	کلیات	3f010a88-e467-4968-ad6b-a41994db40ef.epub	Aaina-e-Jahan	آئینۂ ادب	2016	5	5727955281337
2810	3036	Chander Bhan Khayal	چندر بھان خیال	12	Kulliyat	کلیات	10b210ac-acd7-478f-a4d4-429f3813e29e.epub	Kulliyat-e-Kumar Pashi	کلیاتِ کمار پاشی	2015	1	5079668016419
2811	3037	Khalid Mahmood	خالد محمود	12	Kulliyat	کلیات	596d8484-3101-44c7-b9a7-d25139532bf3.epub	Kulliyat-e-Mulla Ramoozi	کلّیاتِ مُلّا رموزی	2013	1	8236647419385
2812	3038	Zoe Ansari Abul Faiz Sahar	ظ انصاری ابو الفیض سحر	10	Research and Criticism	تحقیق و تنقید	4a67b149-43c0-4bad-baff-881b1b227f29.epub	KHUSRO SHANASI	خسرو شناسی	2010		5681688632800
2813	3039	Mohammad Bin Zakariya Razi	محمد بن زکریا رازی	20	Medicine and Therapies	طب ومعالجات	a38f252a-9b0d-4a0a-b0d4-2874002390bb.epub	Kitabul Murshid	کتاب المرشد	2000		5429857898131
2814	3040	Dr Abdul Haleem Nadvi	ڈاکٹر عبدالحلیم ندوی	10	Research and Criticism	تحقیق و تنقید	074c1f0c-3812-4da2-80a5-4b9d4a0f9271.epub	Arabi Adab Ki Tarikh	عربی ادب کی تاریخ، جلد اوّل	2009	3	1928053120057
2815	3041	Ateequllah	عتیق اللہ	10	Research and Criticism	تحقیق و تنقید	2139f475-2bb7-4727-b8ed-b612e7527cc7.epub	Asaaleeb	اسالیب	2015		2936271821575
2817	3043	Mirza Khalil Ahmad Baig	مرزا خلیل احمد بیگ	10	Research and Criticism	تحقیق و تنقید	e3fb6e3f-c831-4af2-afc5-92d8aa02abdc.epub	Asloobiyati Tanqeed	اسلوبیاتی تنقید	2014		0530097350243
2818	3044	Zubair Rizvi	زبیر رضوی	10	Research and Criticism	تحقیق و تنقید	a0826be5-813f-4916-b8d9-85307efa4101.epub	Asri Aalmi Adab Ke Sutoon	عصری عالمی ادب کے ستون	2015		0295143065308
2819	3045	Ali Ahmad Fatmi	علی احمد فاطمی	10	Research and Criticism	تحقیق و تنقید	a4439130-523d-4f05-9175-0b1f277985e0.epub	Baqiyate Ali Sardar Jafri	باقیاتِ علی سردار جعفری	2014		8239122783302
2820	3046	Hakeem Hafiz Syed Habibur Rahman	حکیم حافظ سیّد حبیب الرحمن	20	Medicine and Therapies	طب ومعالجات	2822f594-cf5b-4666-b291-92a8371e94a6.epub	Hindustan Ke Mashhoor Atibba	ہندوستان کے مشہور اطبّا	2014		6881015412349
2821	3047	Dr Naresh	ڈاکٹر نریش	10	Research and Criticism	تحقیق و تنقید	6ff5f10b-678c-4637-9a34-eceda3b5d77a.epub	Jadeed Hindi Shairi Par Urdu Ka Asar	جدید ہندی شاعری پر اردو کا اثر	2017		8114822196920
2822	3048	Abdul Qadir Sarwari	عبدالقادر سروری	10	Research and Criticism	تحقیق و تنقید	2198c153-b5e8-4581-a0d1-a00929dd8717.epub	Kirdar Aur Afsana	کردار اور افسانہ	2017		3186629402159
2823	3049	Syed Abdul Bari	سیّدعبد الباری	10	Research and Criticism	تحقیق و تنقید	42ad042b-69c7-4dcb-8a53-db7b2424587b.epub	Lucknow Ke Sher-O-Adab	لکھنؤ کے شعر و ادب 	2015		1571968862194
2824	3050	Atiqullah	عتیق اللہ	10	Research and Criticism	تحقیق و تنقید	1fec1646-bbae-4a5a-b5fa-a6c8fa2cd84b.epub	Maghrib Mein Tanqeed Ki Riwayat	مغرب میں تنقید کی روایت	2017		7806268489011
2825	3051	Mohammad Hasan	محمد حسن	10	Research and Criticism	تحقیق و تنقید	3e966c1d-0f70-4004-a935-c5399ab4edbe.epub	Mashriq-Wa-Maghrib Mein Tanqidi Tasawwurat Ki Tareekh	مشرق و مغرب میں تنقیدی تصوّرات کی تاریخ	2016		8168293387956
2826	3052	Dr Sayyed Abid Husain	ڈاکٹر سیّد عابد حسین	15	Sociology and Religion	سماجیات اور مذہب	4454fe9a-34b6-46c1-98db-5bb44a8ba255.epub	Qaumi Tehzeeb Ka Masala	قومی تہذیب کا مسئلہ			6973854430590
2827	3053	Qaiser Zoha Alam	قیصرضحیٰ عالم	10	Research and Criticism	تحقیق و تنقید	bcd86b24-bad4-4f67-9c52-696de9678fdc.epub	Sharar-e-Justuju	شرارِ جستجو	201ً5		7974943722433
2828	3054	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	55029c75-6f34-41bc-a484-d9a18bab92a7.epub	Tareekh-e-Adab-e-Urdu Vol 12	تاریخِ ادبِ اردو	2015	12	7392016714599
2829	3055	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	ffa799dd-1bfa-4c7d-a996-328ab67f8ba8.epub	Tareekh-e-Adab-e-Urdu Vol 13	تاریخِ ادبِ اردو	2015	13	7111136121746
2830	3056	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	b933b0b6-cc47-4688-91e8-3d6cf88a8466.epub	Tareekh-e-Adab-e-Urdu Vol 14	تاریخِ ادبِ اردو	2015	14	2537884856913
2831	3057	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	17b8ce67-b941-4b71-8967-1e6652fd5758.epub	Tareekh-e-Adab-e-Urdu Vol 17	تاریخ ادب اردو	2016	17	3733476532616
2832	3058	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	67a03cfb-b384-4484-a11e-90f6366d8740.epub	Tareekh-e-Adab-e-Urdu	تاریخ ادب اردو	2016	16	8778718562516
2833	3059	Mohammad Ansarullah	محمد انصار اللہ	10	Research and Criticism	تحقیق و تنقید	a8e49518-b6b2-4b83-8e61-8a8d6888b028.epub	Tareekh-e-Adab-e-Urdu	تاریخ ادب اردو	2016	15	9710455866254
2834	3060	Prof. Irteza Karim	پروفیسر ارتضیٰ کریم	10	Research and Criticism	تحقیق و تنقید	6d20a702-7f18-4a0c-9f06-38530ac96279.epub	Urdu Fiction Ki Tanqeed	اردو فکشن کی تنقید	2016		3612325202947
2835	3061	Prof. Abdus Sattar Dalvi	پروفیسر عبد الستّار دلوی	11	Language and Linguistics	زبان ولسانیات	d08492ed-ac6c-4c7d-a0d7-889cf9607f24.epub	Urdu Mein Lisani Tehqeeq	اردو میں لسانی تحقیق	201ً5		2699787152157
2836	3062	Huma Mirza	ہما مرزا	10	Research and Criticism	تحقیق و تنقید	76d813ea-ac99-4a9a-93b4-f533b7cc9724.epub	Urooj-e-Fun	عروجِ فن	2018		9589734785794
2837	3063	Shamsur Rahman Faruqi	شمس الرحمن فاروقی	10	Research and Criticism	تحقیق و تنقید	79f120bb-6b5e-4e12-aa2d-c10c7e425b05.epub	Urooz Aahang Aur Bayaan	عروض آہنگ اور بیان	2016		8902310775301
2838	3064	Abdul Haleem Nadvi	عبدالحلیم ندوی	10	Research and Criticism	تحقیق و تنقید	c517c898-b9bb-475a-aba9-9581787de6b1.epub	Arabi Adab Ki Tareekh Vol 2	عربی ادب کی تاریخ جلد دوم	2015	2	2232802028808
2839	3065	Anand Verdhan	آنند وردھن	1	Poetry	شاعری	38f01590-e30d-4fd9-a29b-1da9374a2d1b.epub	Dhwanyalok	دھونیا لوک			2710744459938
2840	3066	Aijaz Ali Arshad	سیما صغیر	10	Research and Criticism	تحقیق و تنقید	524dd382-848a-41ca-b905-14fbb8e2c7db.epub	Bihar Ki Bahar Vol 2	بہار کی بَہار	2017		0921161236878
2841	3067	Dr. Javed Ahmed Saeedi Kamatvi	ڈاکٹر جاوید احمد سعیدی کامٹوی	20	Medicine and Therapies	طب ومعالجات	c37984b1-17c9-4efc-80e3-7f7e5fed188c.epub	Hamara Tarze Zindagi Aur Bimaryan	ہمارا طرزِ زندگی اور بیماریاں	2015		0554274537880
2842	3068	Dr. Abdul Moiz Shams	ڈاکٹر عبدالمعزّ شمس	20	Medicine and Therapies	طب ومعالجات	5233208c-5576-4b77-95ac-753b0142b62f.epub	Jism Bejaan	جسم بے جان	2014		0341183061554
2843	3069	K.Abdul Muntaquim	خواجہ عبدالمنتقم	23	Laws	قانون	9095fcdb-13a4-42f2-8268-5e07eeee48ba.epub	Khawateen Se Mutallique Jinsi Wa Deegar Jaraim	خواتین سے متعلق جنسی و دیگر جرائم	201ٓ7		9620622346877
2844	3070	Ali Rafad Fatihi	علی رفاد فتحیی	11	Language and Linguistics	زبان ولسانیات	72078274-7262-4476-b3ca-5bf1b4ad37c4.epub	Lafz Saazi	لفظ سازی	2013		9732806544856
2845	3071	Akram Naqqash	اکرم نقّاش	10	Research and Criticism	تحقیق و تنقید	3103a365-7a24-430d-a6ed-d5a0c9308588.epub	Mahmood Ayaz ki Tahreerien	محمود ایاز کی تحریریں	2018		5446989794353
2846	3072	Syed Yasir Ali Jilani	سیّد یاسر علی جیلانی	19	Political Science	سیاست	8050e03c-765a-43d3-a77e-f471ef86df2f.epub	Mann  Ki Baat	من کی بات	2018		6538857978391
2847	3073	Hakeem Mohammad Akbar	حکیم محمد اکبر	20	Medicine and Therapies	طب ومعالجات	c51b4b98-4978-46b5-9aa8-6c5f90a65ee8.epub	Meezanut Tib	میزان الطّب			5075033203172
2848	3074	Wasim Ahmad Azmi	وسیم احمد اعظمی	20	Medicine and Therapies	طب ومعالجات	0fed849e-a8a2-4bbf-b10e-e1436706370e.epub	Moalijat	معالجات	2015	4	9558842514880
2849	3075	Wasim Ahmad Azmi	وسیم احمد اعظمی	20	Medicine and Therapies	طب ومعالجات	e95803fb-a6fc-4c6a-b7cb-0057ec472b36.epub	Moalijat	معالجات	2015	3	3324874309633
2850	3076	Editorial Board	ادارتی بورڈ	20	Medicine and Therapies	طب ومعالجات	489e5487-6dbd-4194-86ca-53c8dc5ce704.epub	Munafeul Aaza	منافع الاعضاء	2016	1	9914866004313
2851	3077	Editorial Board	ادارتی بورڈ	20	Medicine and Therapies	طب ومعالجات	448c55dd-ac60-492a-afc0-abc9a094230f.epub	Munafeul Aaza	منافع الاعضاء	2016	2	5267299694027
2852	3078	Editorial Board	ادارتی بورڈ	20	Medicine and Therapies	طب ومعالجات	9888564a-9e95-4f4d-97b4-a39ae5205813.epub	Munafeul Aaza	منافع الاعضاء	2016	3	1407245182186
2853	3079	Ismat Javed	عصمت جاوید	11	Language and Linguistics	زبان ولسانیات	aefda3c6-c332-4813-ae74-89035913764c.epub	Nai Urdu Qawaid	نئی اردو قواعد	2015		5752278373561
2854	3080	Dr. Ghulam Yahya Anjum	ڈاکٹر غلام یحییٰ انجم	15	Sociology and Religion	سماجیات اور مذہب	9d6e109a-bc5c-4864-9348-c8d530471460.epub	Quran-e-Karim ke Hindustani Tarajum wa Tafasir ka Ijmali Jaiza	قرآن کریم کے ہندوستانی تراجم وتفاسیرکا اجمالی جائزہ	2017		9527799532521
2855	3081	Hakeem Syed Mohd. Hassan Nigrami	حکیم سیّد محمد حسان نگرامی	20	Medicine and Therapies	طب ومعالجات	add0ac6f-7e5e-4544-9164-545bacea4b59.epub	Tareekh-e-Ilmul Adviya	تاریخ علم الادویّہ	2015		4135483539183
2856	3082	H S Mohd. Hassan Nigrami	حکیم سیّد محمد حسان نگرامی	20	Medicine and Therapies	طب ومعالجات	bcfdb471-cd6d-4024-93cc-3f333c53901d.epub	Tareekh-e-Tib	تاریخِ طب	2016		9693579992754
2857	3083	Shamim Tariq	شمیم طارق	15	Sociology and Religion	سماجیات اور مذہب	03e87184-4772-4874-8cb5-e8cd80c4a5f4.epub	Tasawwuf Aur Bhakti ki Aham Istelahat	تصوّف اور بھکتی کی اہم اصطلاحات	2018		7445552941130
2858	3084	Prof. A. R. Fatihi	پروفیسر علی رفاد فتیحی	11	Language and Linguistics	زبان ولسانیات	9aae3ee2-f294-4930-9bb9-1082f0f8ff77.epub	Urdu Lisaniyat	اردو لسانیات	2012		4786312960405
2859	3085	Syed Kamaluddin Hussain Hamdani	سیّد کمال الدین حسین ہمدانی	20	Medicine and Therapies	طب ومعالجات	889237e1-3856-4b64-86d7-45d3167b4f71.epub	Usool-e-Tib	اصولِ طب	2015		5005918017351
2860	3086	K.A. Muntaquim	خواجہ عبدالمنتقم	23	Laws	قانون	d28ec176-3ebb-4371-bcdc-9bbd735863c5.epub	Waqf Qawaneen	وقف قوانین	201ً6		4649491852064
